,EastAsianIDs
0,1
1,3
2,8
3,12
4,15
5,16
6,18
7,19
8,20
9,22
10,25
11,28
12,29
13,36
14,39
15,41
16,42
17,50
18,51
19,54
20,60
21,62
22,64
23,65
24,68
25,69
26,73
27,74
28,76
29,78
30,86
31,88
32,89
33,90
34,91
35,93
36,95
37,96
38,97
39,101
40,103
41,104
42,105
43,109
44,112
45,113
46,115
47,126
48,127
49,131
50,136
51,143
52,145
53,146
54,147
55,148
56,150
57,151
58,152
59,161
60,162
61,164
62,171
63,172
64,177
65,181
66,183
67,185
68,190
69,193
70,196
71,199
72,202
73,205
74,209
75,212
76,215
77,219
78,224
79,225
80,226
81,237
82,238
83,239
84,241
85,244
86,254
87,257
88,259
89,260
90,264
91,268
92,270
93,271
94,275
95,284
96,286
97,292
98,297
99,299
100,300
101,303
102,309
103,313
104,316
105,324
106,325
107,330
108,333
109,334
110,336
111,338
112,339
113,340
114,341
115,345
116,349
117,364
118,372
119,374
120,377
121,379
122,381
123,383
124,385
125,386
126,392
127,396
128,400
129,411
130,412
131,419
132,432
133,434
134,436
135,444
136,445
137,452
138,453
139,463
140,464
141,465
142,473
143,475
144,489
145,492
146,499
147,503
148,511
149,515
150,520
151,521
152,522
153,526
154,527
155,528
156,531
157,533
158,538
159,539
160,540
161,544
162,547
163,548
164,551
165,553
166,555
167,557
168,558
169,561
170,565
171,576
172,578
173,581
174,590
175,591
176,594
177,602
178,603
179,605
