,East Asian,South Asian,Middle Eastern,Black,White,Hispanic,Other
0,8.0,46.0,48.0,92.0,4.0,2.0,24.0
1,12.0,72.0,111.0,124.0,26.0,21.0,83.0
2,16.0,80.0,187.0,142.0,37.0,31.0,85.0
3,18.0,139.0,228.0,217.0,49.0,55.0,102.0
4,19.0,144.0,230.0,251.0,58.0,61.0,118.0
5,28.0,180.0,265.0,335.0,59.0,63.0,129.0
6,29.0,208.0,266.0,371.0,66.0,71.0,201.0
7,36.0,211.0,276.0,430.0,99.0,77.0,220.0
8,39.0,236.0,414.0,,100.0,87.0,223.0
9,51.0,256.0,418.0,,106.0,94.0,248.0
10,62.0,273.0,460.0,,116.0,107.0,277.0
11,64.0,311.0,466.0,,141.0,121.0,282.0
12,65.0,322.0,500.0,,153.0,130.0,283.0
13,68.0,360.0,,,167.0,132.0,285.0
14,69.0,361.0,,,168.0,134.0,293.0
15,73.0,368.0,,,169.0,135.0,310.0
16,74.0,405.0,,,174.0,137.0,314.0
17,76.0,416.0,,,179.0,149.0,317.0
18,86.0,431.0,,,188.0,156.0,331.0
19,88.0,479.0,,,189.0,158.0,343.0
20,89.0,488.0,,,191.0,176.0,350.0
21,90.0,505.0,,,195.0,198.0,353.0
22,91.0,506.0,,,203.0,204.0,413.0
23,95.0,517.0,,,214.0,206.0,439.0
24,96.0,519.0,,,216.0,207.0,469.0
25,97.0,,,,235.0,246.0,477.0
26,101.0,,,,245.0,247.0,498.0
27,104.0,,,,272.0,249.0,512.0
28,105.0,,,,274.0,253.0,513.0
29,109.0,,,,294.0,267.0,
30,112.0,,,,315.0,269.0,
31,113.0,,,,355.0,289.0,
32,115.0,,,,356.0,290.0,
33,127.0,,,,359.0,295.0,
34,136.0,,,,367.0,296.0,
35,143.0,,,,397.0,304.0,
36,145.0,,,,417.0,312.0,
37,146.0,,,,427.0,321.0,
38,148.0,,,,441.0,323.0,
39,150.0,,,,443.0,327.0,
40,151.0,,,,447.0,332.0,
41,152.0,,,,459.0,337.0,
42,161.0,,,,467.0,348.0,
43,162.0,,,,470.0,351.0,
44,164.0,,,,480.0,354.0,
45,171.0,,,,482.0,357.0,
46,172.0,,,,483.0,373.0,
47,177.0,,,,487.0,375.0,
48,181.0,,,,494.0,378.0,
49,193.0,,,,504.0,387.0,
50,199.0,,,,524.0,388.0,
51,202.0,,,,,393.0,
52,205.0,,,,,398.0,
53,209.0,,,,,409.0,
54,215.0,,,,,415.0,
55,224.0,,,,,420.0,
56,226.0,,,,,421.0,
57,237.0,,,,,446.0,
58,238.0,,,,,451.0,
59,241.0,,,,,458.0,
60,244.0,,,,,461.0,
61,254.0,,,,,481.0,
62,257.0,,,,,493.0,
63,259.0,,,,,509.0,
64,260.0,,,,,532.0,
65,264.0,,,,,552.0,
66,268.0,,,,,,
67,270.0,,,,,,
68,275.0,,,,,,
69,284.0,,,,,,
70,286.0,,,,,,
71,292.0,,,,,,
72,297.0,,,,,,
73,300.0,,,,,,
74,313.0,,,,,,
75,316.0,,,,,,
76,324.0,,,,,,
77,325.0,,,,,,
78,334.0,,,,,,
79,336.0,,,,,,
80,338.0,,,,,,
81,339.0,,,,,,
82,340.0,,,,,,
83,345.0,,,,,,
84,349.0,,,,,,
85,364.0,,,,,,
86,377.0,,,,,,
87,381.0,,,,,,
88,383.0,,,,,,
89,385.0,,,,,,
90,386.0,,,,,,
91,392.0,,,,,,
92,396.0,,,,,,
93,400.0,,,,,,
94,412.0,,,,,,
95,432.0,,,,,,
96,434.0,,,,,,
97,436.0,,,,,,
98,444.0,,,,,,
99,445.0,,,,,,
100,453.0,,,,,,
101,463.0,,,,,,
102,464.0,,,,,,
103,473.0,,,,,,
104,475.0,,,,,,
105,492.0,,,,,,
106,499.0,,,,,,
107,503.0,,,,,,
108,526.0,,,,,,
109,527.0,,,,,,
110,533.0,,,,,,
