,HispanicIDs
0,2
1,6
2,21
3,23
4,27
5,31
6,34
7,55
8,61
9,63
10,67
11,71
12,77
13,82
14,87
15,94
16,107
17,119
18,121
19,125
20,130
21,132
22,134
23,135
24,137
25,138
26,149
27,156
28,158
29,176
30,182
31,198
32,204
33,206
34,207
35,210
36,229
37,232
38,234
39,243
40,246
41,247
42,249
43,252
44,253
45,267
46,269
47,289
48,290
49,295
50,296
51,304
52,312
53,321
54,323
55,326
56,327
57,332
58,337
59,344
60,348
61,351
62,354
63,357
64,363
65,373
66,375
67,376
68,378
69,387
70,388
71,393
72,398
73,409
74,415
75,420
76,421
77,428
78,446
79,451
80,456
81,458
82,461
83,471
84,481
85,493
86,509
87,532
88,542
89,552
90,559
91,562
92,568
93,569
94,575
95,579
96,582
97,598
