,Gender ,Ethnicity
11,M,20
52,M,Black
3,M,East Asian
68,M,East Asian
67,M,East Asian
59,M,East Asian
56,M,East Asian
55,M,East Asian
46,M,East Asian
43,M,East Asian
41,M,East Asian
30,M,East Asian
26,M,East Asian
23,M,East Asian
22,M,East Asian
70,M,East Asian
18,M,East Asian
4,M,East Asian
5,M,East Asian
16,M,East Asian
9,M,East Asian
12,M,East Asian
20,M,East Asian
13,M,East Asian
28,M,East Asian/White
44,M,Hispanic
63,M,Hispanic
7,M,Hispanic
47,M,Hispanic
40,M,Hispanic
34,M,Hispanic
17,F,Hispanic
24,M,Hispanic
33,M,Hispanic
27,M,Hispanic
29,M,Hispanic/East Asian
38,M,South Asian
66,M,South Asian
45,M,South Asian
31,M,South Asian
6,M,South Asian
51,M,South Asian
57,M,South Asian
65,M,White
61,M,White
60,M,White
58,M,White
53,M,White
10,M,White
48,M,White
15,M,White
42,M,White
69,M,White
39,M,White
35,M,White
21,M,White
14,M,White x East Asian
25,M,White/East Asian
32,M,White/Hispanic
